Timestamp,Distance (cm),time_diff (s),Speed (cm/s)
2024-07-12 10:00:45,46,0.1,-30
2024-07-12 10:00:45,43,0.099,-30.303
2024-07-12 10:00:45,40,0.101,-29.703
2024-07-12 10:00:45,37,0.099,-30.303
2024-07-12 10:00:45,36,0.099,-10.101
2024-07-12 10:00:45,35,0.1,-10
2024-07-12 10:00:45,36,0.099,10.101
2024-07-12 10:00:45,36,0.099,0
2024-07-12 10:00:46,41,0.1,50
2024-07-12 10:00:46,44,0.099,30.303
2024-07-12 10:00:46,49,0.1,50
2024-07-12 10:00:46,53,0.101,39.604
2024-07-12 10:00:46,57,0.1,40
2024-07-12 10:00:46,61,0.099,40.404
2024-07-12 10:00:46,66,0.099,50.5051
2024-07-12 10:00:46,70,0.099,40.404
2024-07-12 10:00:46,75,0.099,50.5051
2024-07-12 10:00:46,79,0.099,40.404
2024-07-12 10:00:47,84,0.1,50
2024-07-12 10:00:47,88,0.1,40
2024-07-12 10:00:47,93,0.099,50.5051
2024-07-12 10:00:47,99,0.1,60
2024-07-12 10:00:47,103,0.099,40.404
2024-07-12 10:00:47,107,0.1,40
2024-07-12 10:00:47,111,0.099,40.404
2024-07-12 10:00:47,112,0.1,10
2024-07-12 10:00:47,115,0.099,30.303
2024-07-12 10:00:47,112,0.1,-30
2024-07-12 10:00:48,109,0.1,-30
2024-07-12 10:00:48,105,0.099,-40.404
2024-07-12 10:00:48,101,0.1,-40
2024-07-12 10:00:48,98,0.101,-29.703
2024-07-12 10:00:48,97,0.098,-10.2041
2024-07-12 10:00:48,95,0.099,-20.202
2024-07-12 10:00:48,92,0.1,-30
2024-07-12 10:00:48,90,0.099,-20.202
2024-07-12 10:00:48,87,0.1,-30
2024-07-12 10:00:48,84,0.1,-30
2024-07-12 10:00:49,83,0.099,-10.101
2024-07-12 10:00:49,83,0.1,0
2024-07-12 10:00:49,80,0.099,-30.303
2024-07-12 10:00:49,79,0.1,-10
2024-07-12 10:00:49,79,0.099,0
2024-07-12 10:00:49,79,0.099,0
2024-07-12 10:00:49,78,0.1,-10
2024-07-12 10:00:49,76,0.099,-20.202
2024-07-12 10:00:49,75,0.101,-9.90099
2024-07-12 10:00:49,73,0.099,-20.202
2024-07-12 10:00:50,71,0.1,-20
2024-07-12 10:00:50,70,0.1,-10
2024-07-12 10:00:50,67,0.099,-30.303
2024-07-12 10:00:50,66,0.1,-10
2024-07-12 10:00:50,65,0.099,-10.101
2024-07-12 10:00:50,63,0.1,-20
2024-07-12 10:00:50,64,0.1,10
2024-07-12 10:00:50,62,0.1,-20
2024-07-12 10:00:50,58,0.099,-40.404
2024-07-12 10:00:50,56,0.099,-20.202
2024-07-12 10:00:51,56,0.1,0
2024-07-12 10:00:51,55,0.1,-10
2024-07-12 10:00:51,52,0.099,-30.303
2024-07-12 10:00:51,50,0.1,-20
2024-07-12 10:00:51,49,0.099,-10.101
2024-07-12 10:00:51,49,0.1,0
2024-07-12 10:00:51,46,0.101,-29.703
2024-07-12 10:00:51,43,0.098,-30.6122
2024-07-12 10:00:51,43,0.1,0
2024-07-12 10:00:51,42,0.1,-10
2024-07-12 10:00:52,41,0.1,-10
2024-07-12 10:00:52,41,0.1,0
2024-07-12 10:00:52,42,0.099,10.101
2024-07-12 10:00:52,43,0.1,10
2024-07-12 10:00:52,44,0.1,10
2024-07-12 10:00:52,48,0.1,40
2024-07-12 10:00:52,50,0.099,20.202
2024-07-12 10:00:52,51,0.1,10
2024-07-12 10:00:52,54,0.1,30
2024-07-12 10:00:52,56,0.1,20
2024-07-12 10:00:53,57,0.099,10.101
2024-07-12 10:00:53,58,0.1,10
2024-07-12 10:00:53,60,0.1,20
2024-07-12 10:00:53,62,0.099,20.202
2024-07-12 10:00:53,63,0.099,10.101
2024-07-12 10:00:53,63,0.099,0
2024-07-12 10:00:53,64,0.1,10
2024-07-12 10:00:53,67,0.101,29.703
2024-07-12 10:00:53,69,0.099,20.202
2024-07-12 10:00:53,70,0.101,9.90099
2024-07-12 10:00:54,71,0.098,10.2041
2024-07-12 10:00:54,74,0.1,30
2024-07-12 10:00:54,76,0.099,20.202
2024-07-12 10:00:54,77,0.1,10
2024-07-12 10:00:54,78,0.1,10
2024-07-12 10:00:54,80,0.1,20
2024-07-12 10:00:54,83,0.099,30.303
2024-07-12 10:00:54,83,0.1,0
2024-07-12 10:00:54,84,0.1,10
2024-07-12 10:00:54,87,0.1,30
2024-07-12 10:00:55,89,0.099,20.202
2024-07-12 10:00:55,90,0.1,10
2024-07-12 10:00:55,91,0.099,10.101
2024-07-12 10:00:55,93,0.099,20.202
2024-07-12 10:00:55,97,0.1,40
2024-07-12 10:00:55,98,0.1,10
2024-07-12 10:00:55,97,0.1,-10
2024-07-12 10:00:55,98,0.099,10.101
2024-07-12 10:00:55,100,0.1,20
2024-07-12 10:00:56,101,0.099,10.101
2024-07-12 10:00:56,102,0.1,10
